corpus,file,method,original_bytes,compressed_bytes,ratio,bits_per_byte,entropy_bits_per_byte,gap_to_h0_bits_per_byte,seconds,throughput_mib_s
silesia,webster,raw,41458703,41458703,1.0,8.0,4.970730978411171,3.0292690215888287,0.0003712000325322151,106514.26933585567
silesia,webster,rle,41458703,81880934,1.9749998932672834,15.799999146138267,4.970730978411171,10.829268167727097,8.400328999967314,4.706732348550704
silesia,webster,zlib_9,41458703,12073475,0.29121690082779483,2.3297352066223587,4.970730978411171,-2.6409957717888126,2.550178600009531,15.504051458382946
silesia,webster,bzip2_9,41458703,8644714,0.20851385534178432,1.6681108427342746,4.970730978411171,-3.3026201356768965,3.2139785999897867,12.301917704971771
silesia,webster,lzma_9,41458703,8385868,0.20227038940412584,1.6181631152330067,4.970730978411171,-3.3525678631781646,30.507592299953103,1.2960085428529713
silesia,webster,brotli_11,41458703,8788708,0.2119870464833403,1.6958963718667224,4.970730978411171,-3.2748346065444487,73.75909690000117,0.5360437139871506
silesia,webster,zstd_19,41458703,8679726,0.20935835836446692,1.6748668669157354,4.970730978411171,-3.295864111495436,25.497389300027862,1.550672493460793
silesia,webster,ppmd_6,41458703,7065862,0.1704313325961982,1.3634506607695855,4.970730978411171,-3.6072803176415857,6.8480977999279276,5.773588724598948
silesia,x-ray,raw,8474240,8474240,1.0,8.0,6.604646126833166,1.395353873166834,0.000314400065690279,25705.036102072223
silesia,x-ray,rle,8474240,16872228,1.991001906955668,15.928015255645343,6.604646126833166,9.323369128812178,1.748771300073713,4.621339015983306
silesia,x-ray,zlib_9,8474240,6045038,0.713342789441885,5.70674231553508,6.604646126833166,-0.8979038112980859,0.3733024999964982,21.649105053243176
silesia,x-ray,bzip2_9,8474240,4051112,0.47805018503134206,3.8244014802507365,6.604646126833166,-2.7802446465824295,0.5527702999534085,14.620295337400872
silesia,x-ray,lzma_9,8474240,4489868,0.5298254474737557,4.238603579790046,6.604646126833166,-2.3660425470431203,3.579860199941322,2.2575364924012864
silesia,x-ray,brotli_11,8474240,4687298,0.5531231119250812,4.42498489540065,6.604646126833166,-2.179661231432516,19.808286299929023,0.4079941554101759
silesia,x-ray,zstd_19,8474240,5129823,0.6053431340155577,4.842745072124462,6.604646126833166,-1.7619010547087042,3.335777100059204,2.4227233405130892
silesia,x-ray,ppmd_6,8474240,4039595,0.4766911251038441,3.8135290008307527,6.604646126833166,-2.7911171260024132,2.4773608999093994,3.262207391485858
silesia,xml,raw,5345280,5345280,1.0,8.0,5.518154617082,2.4818453829180003,0.00016850000247359276,30253.15237487253
silesia,xml,rle,5345280,10381964,1.9422675706417625,15.5381405651341,5.518154617082,10.0199859480521,1.059562399983406,4.811095835488155
silesia,xml,zlib_9,5345280,658905,0.12326856591235633,0.9861485272988506,5.518154617082,-4.532006089783149,0.1901958999224007,26.802135335618836
silesia,xml,bzip2_9,5345280,441186,0.08253749102011494,0.6602999281609195,5.518154617082,-4.85785468892108,0.5241796999471262,9.725016536340874
silesia,xml,lzma_9,5345280,453260,0.08479630627394635,0.6783704501915708,5.518154617082,-4.8397841668904285,1.0577566999709234,4.81930887333555
silesia,xml,brotli_11,5345280,430390,0.0805177652059387,0.6441421216475096,5.518154617082,-4.87401249543449,6.878582600038499,0.7410910861158327
silesia,xml,zstd_19,5345280,454094,0.08495233177681992,0.6796186542145594,5.518154617082,-4.83853596286744,1.9101106999441981,2.6687752967139144
silesia,xml,ppmd_6,5345280,496413,0.09286941002155172,0.7429552801724137,5.518154617082,-4.775199336909586,0.5649522000458091,9.023163817375446
