corpus,file,block_size,method,original_bytes,encoded_bytes,ratio
silesia,sao,128,zero_block_bitmap,7251944,7259041,1.0009786341427898
silesia,sao,128,zero_trim,7251944,7419267,1.0230728477770925
silesia,sao,128,raw,7251944,7251944,1.0
silesia,webster,128,fisa,41458703,41458713,1.0000002412038795
silesia,webster,128,zero_block_bitmap,41458703,41499207,1.000976972193269
silesia,webster,128,zero_trim,41458703,42430406,1.0234378533259954
silesia,webster,128,raw,41458703,41458703,1.0
silesia,x-ray,128,fisa,8474240,8474250,1.0000011800468243
silesia,x-ray,128,zero_block_bitmap,8474240,8482531,1.0009783768219922
silesia,x-ray,128,zero_trim,8474240,8672260,1.0233672872139568
silesia,x-ray,128,raw,8474240,8474240,1.0
silesia,xml,128,fisa,5345280,5345290,1.000001870809387
silesia,xml,128,zero_block_bitmap,5345280,5337075,0.9984650008979885
silesia,xml,128,zero_trim,5345280,5452089,1.0199819279813218
silesia,xml,128,raw,5345280,5345280,1.0
canterbury,alice29.txt,256,fisa,152089,152098,1.0000591758772823
canterbury,alice29.txt,256,zero_block_bitmap,152089,152176,1.0005720334803963
canterbury,alice29.txt,256,zero_trim,152089,153884,1.011802299969097
canterbury,alice29.txt,256,raw,152089,152089,1.0
canterbury,asyoulik.txt,256,fisa,125179,125188,1.000071897043434
canterbury,asyoulik.txt,256,zero_block_bitmap,125179,125253,1.0005911534682335
canterbury,asyoulik.txt,256,zero_trim,125179,126657,1.0118070922439066
canterbury,asyoulik.txt,256,raw,125179,125179,1.0
canterbury,cp.html,256,fisa,24603,24612,1.000365809047677
canterbury,cp.html,256,zero_block_bitmap,24603,24627,1.0009754907938055
canterbury,cp.html,256,zero_trim,24603,24903,1.0121936349225704
canterbury,cp.html,256,raw,24603,24603,1.0
canterbury,fields.c,256,fisa,11150,11158,1.0007174887892376
canterbury,fields.c,256,zero_block_bitmap,11150,11166,1.0014349775784754
canterbury,fields.c,256,zero_trim,11150,11291,1.012645739910314
canterbury,fields.c,256,raw,11150,11150,1.0
canterbury,grammar.lsp,256,fisa,3721,3729,1.002149959688256
canterbury,grammar.lsp,256,zero_block_bitmap,3721,3733,1.0032249395323838
