campaign,corpus,method,files,mean_ratio,median_ratio,weighted_ratio,ci95_mean_low,ci95_mean_high,mean_throughput_mib_s
benchmark_canterbury,canterbury,fipb_forced_bs256,11,1.6481604642566372,1.6923605397071393,1.6043612742921547,1.5608431805023073,1.6939769313052535,0.024751957594869867
benchmark_canterbury,canterbury,fipb_forced_bs512,11,1.6482361468499875,1.6926778242677825,1.6214312448057198,1.5741673717407616,1.6915987111259292,0.021620948219061353
benchmark_canterbury,canterbury,fipb_forced_bs64,11,1.7901182626425671,1.880269058295964,1.6996336253515034,1.6172382599269068,1.8809757991383795,0.033280311484526676
benchmark_canterbury,canterbury,fipb_raw_fallback_bs256,11,1.0035740948523584,1.019626665965323,0.9863546967678769,0.970074634356103,1.0208409759796375,0.024570579816190687
benchmark_canterbury,canterbury,fipb_raw_fallback_bs512,11,0.9952425979976275,1.0098818491919572,0.9789852226282774,0.9640920354799787,1.011295117537522,0.021890840202246332
benchmark_canterbury,canterbury,fipb_raw_fallback_bs64,11,1.0115291584864272,1.046959346172307,0.9749767324703713,0.9395069346800461,1.048090581135156,0.03309309425873309
benchmark_canterbury,canterbury,lzma_9,11,0.27570593941458293,0.3106938178270942,0.175138324396325,0.20569299395562526,0.3358791061654155,1.1494148363469543
benchmark_canterbury,canterbury,raw,11,1.0,1.0,1.0,1.0,1.0,24091.548673885587
benchmark_canterbury,canterbury,rle,11,1.6922349017785214,1.885446885090708,1.532072902079989,1.384062454738599,1.8868802278285268,0.45542196740999275
benchmark_canterbury,canterbury,zlib_9,11,0.3152102900418903,0.3357217573221757,0.2589384314127304,0.25884961122611744,0.3624613894148016,11.07215293033309
benchmark_silesia_sample,silesia_sample,brotli_11,12,0.31173960367838544,0.287933349609375,0.31173960367838544,0.21454652150472003,0.4158528963724772,0.5318750575773417
benchmark_silesia_sample,silesia_sample,bzip2_9,12,0.3267555236816406,0.30879974365234375,0.3267555236816406,0.22468080520629885,0.43570737838745116,11.630233253533591
benchmark_silesia_sample,silesia_sample,fipb_forced_bs256,12,1.615008036295573,1.6911773681640625,1.615008036295573,1.513987159729004,1.6906144777933756,0.03122152864323599
benchmark_silesia_sample,silesia_sample,fipb_forced_bs512,12,1.646924336751302,1.6810073852539062,1.646924336751302,1.5753668467203776,1.6901885986328125,0.026450997926758934
benchmark_silesia_sample,silesia_sample,fipb_forced_bs64,12,1.781768798828125,1.8796005249023438,1.781768798828125,1.6674081166585286,1.871386496225993,0.04155846462738719
benchmark_silesia_sample,silesia_sample,fipb_raw_fallback_bs256,12,0.9750010172526041,1.01971435546875,0.9750010172526041,0.9180622418721517,1.0184275309244792,0.03107314018626031
benchmark_silesia_sample,silesia_sample,fipb_raw_fallback_bs512,12,0.985321044921875,1.00994873046875,0.985321044921875,0.9438323974609375,1.00994873046875,0.026449701091831326
benchmark_silesia_sample,silesia_sample,fipb_raw_fallback_bs64,12,0.9973436991373698,1.0470428466796875,0.9973436991373698,0.9408098856608073,1.0417470614115398,0.04138482110916875
benchmark_silesia_sample,silesia_sample,lzma_9,12,0.3180491129557292,0.323028564453125,0.3180491129557292,0.22075322469075523,0.41794052124023434,1.5048348956257254
benchmark_silesia_sample,silesia_sample,raw,12,1.0,1.0,1.0,1.0,1.0,6559.110659044298
benchmark_silesia_sample,silesia_sample,rle,12,1.721514383951823,1.8313751220703125,1.721514383951823,1.5448117574055988,1.8743057250976562,0.4268954563950373
benchmark_silesia_sample,silesia_sample,zlib_9,12,0.3697369893391927,0.3446807861328125,0.3697369893391927,0.2570196151733398,0.48940051396687817,14.83820107081497
